,SMILES,RT,Speed,i-PrOH_proportion,Literature
155,C[C@@H]\1CC(=O)N(C1=C/c2ccc(F)cc2)C(C)(C)c3ccccn3,7.4,0.8,0.1,10.1002/anie.202004504
156,CC(C)(C)OC(=O)CNC(=O)[C@@H]1N=C(C[C@H]1c2ccccc2)c3ccccc3,8.7,1.0,0.1,10.1002/anie.201906700
157,C[C@@H](CCc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,13.52,0.8,0.1,10.1038/s41467/019/13705/1
158,C[C@H](CCc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,7.5,0.8,0.1,10.1038/s41467/019/13705/1
159,CC(=O)c1ccc(cc1)[C@@H](CC(c2ccccc2)c3ccccc3)CC(=O)NC(C)(C)c4ccccn4,8.5,0.7,0.3,10.1002/anie.201804197
160,CC(=O)c1ccc(cc1)[C@H](CC(c2ccccc2)c3ccccc3)CC(=O)NC(C)(C)c4ccccn4,7.5,0.7,0.3,10.1002/anie.201804197
161,C[C@H]\1CC(=O)N(C1=C/c2ccc(Cl)cc2)C(C)(C)c3ccccn3,8.7,0.8,0.1,10.1002/anie.202004504
162,C[C@@H]\1CC(=O)N(C1=C/c2ccc(Cl)cc2)C(C)(C)c3ccccn3,7.5,0.8,0.1,10.1002/anie.202004504
163,Clc1ccc2[nH]c3[C@H](CCCc3c2c1)CC=O,6.0,1.0,0.2,10.1002/cctc.201000379
164,Clc1ccc2[nH]c3[C@@H](CCCc3c2c1)CC=O,7.5,1.0,0.2,10.1002/cctc.201000379
165,Fc1ccc2[nH]c3[C@H](CCCc3c2c1)CC=O,6.0,1.0,0.2,10.1002/cctc.201000379
166,Fc1ccc2[nH]c3[C@@H](CCCc3c2c1)CC=O,7.5,1.0,0.2,10.1002/cctc.201000379
167,CCOC(=O)[C@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccccc4,8.2,1.0,0.3,10.1039/C6QO00018E
168,CCOC(=O)[C@@]1(CC(=C(NC(=O)c2ccccc2)C(=O)O1)c3ccccc3)\C=C\c4ccccc4,7.5,1.0,0.3,10.1039/C6QO00018E
169,C[C@@H](C#CC(C)=C)c1ccccc1C(=O)NC(C)(C)C,10.03,0.8,0.02,10.1038/s41467/019/13705/1
170,C[C@H](C#CC(C)=C)c1ccccc1C(=O)NC(C)(C)C,7.51,0.8,0.02,10.1038/s41467/019/13705/1
171,CC(=O)N[C@H](C[S](C)(=O)=O)C1CCCCC1,10.3,1.0,0.15,10.1021/acs.orglett.8b02579
172,CC(=O)N[C@@H](C[S](C)(=O)=O)C1CCCCC1,7.6,1.0,0.15,10.1021/acs.orglett.8b02579
173,COC(=O)[C@@]1(N[C@@H]([C@H]([C@@H]1[N+]([O-])=O)c2ccccc2)c3ccccc3C)c4ccccc4,11.209,1.0,0.05,10.1002/anie.201802492
174,CC(C)[C@H]1NC(=O)Nc2cc(C)ccc12,30.2,1.0,0.2,10.1039/D1QO01598B
175,CC(C)[C@@H]1NC(=O)Nc2cc(C)ccc12,7.7,1.0,0.2,10.1039/D1QO01598B
176,CC(C)C[C@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,8.3,0.8,0.05,10.1002/anie.202004504
177,CC(C)C[C@@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,7.7,0.8,0.05,10.1002/anie.202004504
178,CCCC[C@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,9.6,0.8,0.05,10.1002/anie.202004504
179,CCCC[C@@H]\1CC(=O)N(C1=C/c2ccc(C)cc2)C(C)(C)c3ccccn3,7.7,0.8,0.05,10.1002/anie.202004504
