,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
3324,3324,[O-][N+](=O)C[C@H](CC(=O)c1ccccc1)C(=O)OCc2ccccc2,15.59,1.0,0.2,10.1039/B905033G,AD
3406,3406,C[C@@]1(C/C(COC1=O)=C/c2ccc(Cl)cc2)c3ccccc3,20.68,1.0,0.15,10.1016/j.scib.2021.04.037,AD
3407,3407,C[C@]1(C/C(COC1=O)=C/c2ccc(Cl)cc2)c3ccccc3,15.81,1.0,0.15,10.1016/j.scib.2021.04.037,AD
3443,3443,C[C@]1(CC=C(COC1=O)c2ccc3ccccc3c2)c4ccccc4,17.52,1.0,0.1,10.1021/jacs.8b12095,AD
3444,3444,C[C@@]1(CC=C(COC1=O)c2ccc3ccccc3c2)c4ccccc4,16.04,1.0,0.1,10.1021/jacs.8b12095,AD
3588,3588,O=C1OCC(=CC[C@]12CCc3ccccc23)c4ccccc4,20.75,1.0,0.1,10.1021/jacs.8b12095,AD
3589,3589,O=C1OCC(=CC[C@@]12CCc3ccccc23)c4ccccc4,16.66,1.0,0.1,10.1021/jacs.8b12095,AD
3636,3636,N#CCCCC[C@H](C#N)c1ccc(cc1)C#N,19.6,1.0,0.2,10.1038/s41467/021/22127/x,AD
3637,3637,N#CCCCC[C@@H](C#N)c1ccc(cc1)C#N,16.81,1.0,0.2,10.1038/s41467/021/22127/x,AD
3642,3642,CCOC(=O)C(F)(F)[C@]1(Cc2cc(Br)ccc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,11.029,1.0,0.05,10.1021/acs.orglett.7b03826,AD
3643,3643,CCOC(=O)C(F)(F)[C@@]1(Cc2cc(Br)ccc2C1=O)C(=O)OC34CC5CC(CC(C5)C3)C4,16.846,1.0,0.05,10.1021/acs.orglett.7b03826,AD
